Year,p50_90,p90_99,bottom50,top1,top0_1
2000,35.08,33.38,7.25,24.28,9.4
2001,36.7,33.08,7.38,22.9,8.43
2002,37.33,33.02,7.42,22.2,7.85
2003,37.25,33.2,7.32,22.2,7.75
2004,36.22,33.32,7.05,23.45,8.5
2005,35.4,33.65,7.32,23.62,8.8
2006,34.17,34.08,7.6,24.1,9.32
2007,33.05,34.65,7.65,24.65,9.85
2008,33.4,35.02,7.75,23.8,9.25
2009,33.67,35.2,7.75,23.35,8.55
2010,32.6,35.95,7.3,24.12,8.93
2011,32.2,36.17,6.8,24.8,9.38
2012,31.98,36.15,6.42,25.42,9.85
2013,31.68,36.28,6.12,25.98,10.35
2014,31.1,36.42,5.78,26.72,10.78
2015,30.88,36.45,5.55,27.1,10.92
2016,30.85,36.45,5.45,27.25,10.95
2017,30.6,36.55,5.4,27.4,10.98
2018,30.52,36.7,5.55,27.22,10.78
2019,30.32,36.85,5.52,27.32,10.82
2020,31.22,36.22,5.7,26.88,10.98
2021,30.82,35.5,5.55,28.12,12.2
2022,32.45,34.58,5.95,27,11.88
2023,32.3,34.62,5.82,27.25,12.05
2024,31.85,34.68,5.55,27.88,12.38
2025,31.65,34.7,5.45,28.1,12.5
