Year,p50_90,p90_99,bottom50,top1,top0_1
2000,33.58,35.85,3.2,27.38,10.8
2001,35.17,35.8,3.1,25.98,9.8
2002,35.67,36.02,2.95,25.38,9.25
2003,35.42,36.45,2.68,25.42,9.18
2004,34.17,36.52,2.52,26.75,10
2005,33.5,36.85,2.48,27.2,10.42
2006,32.4,37.25,2.38,27.98,11.1
2007,31.28,37.92,2,28.78,11.75
2008,31.8,38.7,1.3,28.18,11.18
2009,32.25,39.3,0.68,27.8,10.4
2010,31.18,39.92,0.48,28.38,10.7
2011,30.7,39.9,0.4,29,11.18
2012,30.38,39.55,0.55,29.5,11.65
2013,30.08,39.35,0.82,29.78,12.08
2014,29.3,39.32,0.98,30.38,12.48
2015,28.9,39.35,1.12,30.68,12.58
2016,28.78,39.28,1.25,30.72,12.55
2017,28.52,39.3,1.4,30.75,12.52
2018,28.52,39.45,1.58,30.48,12.28
2019,28.32,39.52,1.72,30.45,12.25
2020,29.42,38.67,2.1,29.8,12.35
2021,29.18,37.5,2.4,30.92,13.58
2022,30.95,36.55,2.65,29.8,13.28
2023,30.75,36.55,2.58,30.1,13.5
2024,30.42,36.45,2.5,30.6,13.72
2025,30.2,36.4,2.5,30.85,13.85
